"BehaviorSpace results (NetLogo 5.3.1)"
"CaceBryson-ICCS17.nlogo.txt"
"experiment"
"04/06/2018 18:54:34:290 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15"
"start-num-turtles","1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",,"1000",
"run-dist","1",,"1",,"1",,"2",,"2",,"2",,"3",,"3",,"3",,"4",,"4",,"4",,"5",,"5",,"5",
"ratio-of-special-foods","-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",,"-4",
"starting-proportion-altruists","0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",
"mutation?","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"freq-of-mutation","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"broadcast-radius","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"lifespan","65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",
"food-replacement-rate","3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",,"3.5",
"num-food-strat","8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",
"travel-mode","""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",,"""smooth distribution""",
"[reporter]","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles","knows","count turtles"
